idProduct,idExpansion,idMetacard,dateAdded,category,name,avg,low,trend,avg1,avg7,avg30,avg_foil,low_foil,trend_foil,avg1_foil,avg7_foil,avg30_foil,fields_present,fields_absent,products_created_at,price_guide_created_at,source_date
263960,1458,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.68,0.02,0.42,0.09,0.34,0.58,,,0.3,0.99,0.38,0.34,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
265454,1467,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,0.13,0.02,0.28,0.2,0.22,0.32,,,0.13,0.02,0.06,0.2,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
265502,1467,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,9.33,0.99,9.06,4,8.16,9.22,,,2.36,1.25,2.72,2.92,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
269788,1066,102062,2007-01-01 00:00:00,Yugioh Single,Blue-Eyes White Dragon,119.8,69.9,114.4,87.5,113.22,107.28,,,25.47,24.24,26.12,25.54,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
273519,1598,102062,2015-03-17 10:54:48,Yugioh Single,Blue-Eyes White Dragon,3.41,1.5,4.9,4.99,3.87,4.23,,,1.9,1.54,2.13,1.7,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
286648,1681,102062,2015-11-20 14:54:53,Yugioh Single,Blue-Eyes White Dragon,4.65,0.7,4.62,2.99,3.42,3.57,,,2.21,4.9,1.92,1.91,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
291355,1711,102062,2016-07-19 14:24:30,Yugioh Single,Blue-Eyes White Dragon,2.53,1,2.45,2.3,2.15,2.22,,,2.19,1.43,1.9,1.84,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
292090,1714,102062,2016-08-29 11:24:13,Yugioh Single,Blue-Eyes White Dragon,12.28,4.99,10.38,6.89,11.15,11.34,,,1.19,2.22,1.19,1.14,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
293072,1734,102062,2016-10-06 11:11:01,Yugioh Single,Blue-Eyes White Dragon,4.12,0.02,3.72,3.7,4.19,4.11,,,0.36,0.2,0.44,0.6,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
293159,1734,102062,2016-10-06 11:38:10,Yugioh Single,Blue-Eyes White Dragon,0.25,0.02,0.21,0.2,0.17,0.23,,,0.14,0.04,0.21,0.31,idProduct|idExpansion|idMetacard|dateAdded|category|name|avg|low|trend|avg1|avg7|avg30|trend_foil|avg1_foil|avg7_foil|avg30_foil,avg_foil|low_foil,2026-08-04T11:20:15+0200,2026-08-04T02:47:19+0200,2026-08-04
