public_product_path,canonical_url,expansion,product_label,version,rarity,edition,language,finish,printed_code,from_status,from_cents,from_eur,available_count,discovered_via,detail_attempted,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V4-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-09/Blue-Eyes-White-Dragon-V4-Rare,Duelist League 09,Blue Eyes White Dragon V4 Rare,V4,Rare,,,,,priced,1000,10.00,108,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-League-Series-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-Series-1/Blue-Eyes-White-Dragon,Duelist League Series 1,Blue Eyes White Dragon,,,,,,,priced,100,1.00,158,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,Duelist Legacy Volume 2,Blue Eyes White Dragon V1 Ultra Rare,V1,Ultra Rare,,,,,priced,500,5.00,16,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V2-Ultra-Parallel-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V2-Ultra-Parallel-Rare,Duelist Legacy Volume 2,Blue Eyes White Dragon V2 Ultra Parallel Rare,V2,Rare,,,,,priced,1200,12.00,9,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-of-the-Roses/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-of-the-Roses/Blue-Eyes-White-Dragon,Duelist of the Roses,Blue Eyes White Dragon,,,,,,,priced,7711,77.11,51,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City-Japanese/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City-Japanese/Blue-Eyes-White-Dragon,Duelist Pack Battle City Japanese,Blue Eyes White Dragon,,,,,,,priced,499,4.99,7,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City/Blue-Eyes-White-Dragon,Duelist Pack Battle City,Blue Eyes White Dragon,,,,,,,priced,70,0.70,404,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V1-Super-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V1-Super-Rare,Duelist Pack Kaiba,Blue Eyes White Dragon V1 Super Rare,V1,Super Rare,,,,,priced,100,1.00,202,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V2-Super-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V2-Super-Rare,Duelist Pack Kaiba,Blue Eyes White Dragon V2 Super Rare,V2,Super Rare,,,,,priced,1250,12.50,101,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Legend-Duelist-3/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Legend-Duelist-3/Blue-Eyes-White-Dragon,Duelist Pack Legend Duelist 3,Blue Eyes White Dragon,,,,,,,priced,70,0.70,28,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V1-Parallel-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V1-Parallel-Rare,Duelist Road Piece of Memory Side Yami Yugi,Blue Eyes White Dragon V1 Parallel Rare,V1,Rare,,,,,priced,600,6.00,23,versions,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V2-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V2-Secret-Rare,Duelist Road Piece of Memory Side Yami Yugi,Blue Eyes White Dragon V2 Secret Rare,V2,Secret Rare,,,,,priced,1750,17.50,37,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Saga/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Saga/Blue-Eyes-White-Dragon,Duelist Saga,Blue Eyes White Dragon,,,,,,,priced,600,6.00,372,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/EX-R-Starter-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/EX-R-Starter-Box/Blue-Eyes-White-Dragon,EX R Starter Box,Blue Eyes White Dragon,,,,,,,priced,290,2.90,52,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/EX-Starter-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/EX-Starter-Box/Blue-Eyes-White-Dragon,EX Starter Box,Blue Eyes White Dragon,,,,,,,priced,245,2.45,104,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Forbidden-Legacy-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Forbidden-Legacy-1/Blue-Eyes-White-Dragon,Forbidden Legacy 1,Blue Eyes White Dragon,,,,,,,priced,699,6.99,95,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Gold-Series-5-Haunted-Mine/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Gold-Series-5-Haunted-Mine/Blue-Eyes-White-Dragon,Gold Series 5 Haunted Mine,Blue Eyes White Dragon,,,,,,,priced,3000,30.00,237,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Hidden-Arsenal-Chapter-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Hidden-Arsenal-Chapter-1/Blue-Eyes-White-Dragon,Hidden Arsenal Chapter 1,Blue Eyes White Dragon,,,,,,,priced,8,0.08,2391,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/History-Archive-Collection/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/History-Archive-Collection/Blue-Eyes-White-Dragon,History Archive Collection,Blue Eyes White Dragon,,,,,,,priced,1990,19.90,19,versions|search,no,,,,2026-08-04
/en/YuGiOh/Products/Singles/Jump-Ryu-Vol08-Promotional-Card/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Jump-Ryu-Vol08-Promotional-Card/Blue-Eyes-White-Dragon,Jump Ryu Vol08 Promotional Card,Blue Eyes White Dragon,,,,,,,priced,14700,147.00,17,versions|search,no,,,,2026-08-04
