public_product_path,canonical_url,enrichment_status,attempts,expansion,product_label,version,rarity,edition,printed_code,from_status,from_cents,from_eur,available_count,price_trend_cents,price_trend_eur,avg_1d_cents,avg_1d_eur,avg_7d_cents,avg_7d_eur,avg_30d_cents,avg_30d_eur,detail_ok,fields_present,fields_absent,source_date
/en/YuGiOh/Products/Singles/Duelist-League-Series-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-League-Series-1/Blue-Eyes-White-Dragon,pending,0,Duelist League Series 1,,,,,,priced,100,1.00,158,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V1-Ultra-Rare,pending,0,Duelist Legacy Volume 2,,V1,Ultra Rare,,,priced,500,5.00,16,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V2-Ultra-Parallel-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Legacy-Volume-2/Blue-Eyes-White-Dragon-V2-Ultra-Parallel-Rare,pending,0,Duelist Legacy Volume 2,,V2,Rare,,,priced,1200,12.00,9,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-of-the-Roses/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-of-the-Roses/Blue-Eyes-White-Dragon,pending,0,Duelist of the Roses,,,,,,priced,7711,77.11,51,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City-Japanese/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City-Japanese/Blue-Eyes-White-Dragon,pending,0,Duelist Pack Battle City Japanese,,,,,,priced,499,4.99,7,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Battle-City/Blue-Eyes-White-Dragon,pending,0,Duelist Pack Battle City,,,,,,priced,70,0.70,404,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V1-Super-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V1-Super-Rare,pending,0,Duelist Pack Kaiba,,V1,Super Rare,,,priced,100,1.00,202,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V2-Super-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Kaiba/Blue-Eyes-White-Dragon-V2-Super-Rare,pending,0,Duelist Pack Kaiba,,V2,Super Rare,,,priced,1250,12.50,101,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Pack-Legend-Duelist-3/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Pack-Legend-Duelist-3/Blue-Eyes-White-Dragon,pending,0,Duelist Pack Legend Duelist 3,,,,,,priced,70,0.70,28,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V1-Parallel-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V1-Parallel-Rare,pending,0,Duelist Road Piece of Memory Side Yami Yugi,,V1,Rare,,,priced,600,6.00,23,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V2-Secret-Rare,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Road-Piece-of-Memory-Side-Yami-Yugi/Blue-Eyes-White-Dragon-V2-Secret-Rare,pending,0,Duelist Road Piece of Memory Side Yami Yugi,,V2,Secret Rare,,,priced,1750,17.50,37,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Duelist-Saga/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Duelist-Saga/Blue-Eyes-White-Dragon,pending,0,Duelist Saga,,,,,,priced,600,6.00,372,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/EX-R-Starter-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/EX-R-Starter-Box/Blue-Eyes-White-Dragon,pending,0,EX R Starter Box,,,,,,priced,290,2.90,52,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/EX-Starter-Box/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/EX-Starter-Box/Blue-Eyes-White-Dragon,pending,0,EX Starter Box,,,,,,priced,245,2.45,104,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Forbidden-Legacy-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Forbidden-Legacy-1/Blue-Eyes-White-Dragon,pending,0,Forbidden Legacy 1,,,,,,priced,699,6.99,95,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Gold-Series-5-Haunted-Mine/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Gold-Series-5-Haunted-Mine/Blue-Eyes-White-Dragon,pending,0,Gold Series 5 Haunted Mine,,,,,,priced,3000,30.00,237,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Hidden-Arsenal-Chapter-1/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Hidden-Arsenal-Chapter-1/Blue-Eyes-White-Dragon,pending,0,Hidden Arsenal Chapter 1,,,,,,priced,8,0.08,2391,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/History-Archive-Collection/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/History-Archive-Collection/Blue-Eyes-White-Dragon,pending,0,History Archive Collection,,,,,,priced,1990,19.90,19,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Jump-Ryu-Vol08-Promotional-Card/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Jump-Ryu-Vol08-Promotional-Card/Blue-Eyes-White-Dragon,pending,0,Jump Ryu Vol08 Promotional Card,,,,,,priced,14700,147.00,17,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-1,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-1,pending,0,Kaibas Collector Box,,V1,,,,priced,60,0.60,413,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-2,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Kaibas-Collector-Box/Blue-Eyes-White-Dragon-V-2,pending,0,Kaibas Collector Box,,V2,,,,priced,4000,40.00,6,,,,,,,,,no,,,2026-08-04
/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-25th-Anniversary-Edition/Blue-Eyes-White-Dragon,https://www.cardmarket.com/en/YuGiOh/Products/Singles/Legend-of-Blue-Eyes-White-Dragon-25th-Anniversary-Edition/Blue-Eyes-White-Dragon,pending,0,Legend of Blue Eyes White Dragon 25th Anniversary Edition,,,,,,priced,2190,21.90,172,,,,,,,,,no,,,2026-08-04
